concept,context_id,period_start,period_end,instant_date,dimension_count,dimensions_json,unit,normalized_value,value_type,occurrence_count,unique_fact_ids,first_fact_number
us-gaap:NetIncomeLoss,i1fbc6a83f0b7453280a8339faa4e98fb_D20210101-20211231,2021-01-01,2021-12-31,,1,"[{""dimension"": ""us-gaap:StatementClassOfStockAxis"", ""member"": ""us-gaap:CommonClassBMember"", ""type"": ""explicitmember""}]",iso4217:USD,6042000000,numeric,2,2,511
us-gaap:NetIncomeLoss,i46de09af8b174ed18571c59a168042b3_D20210101-20211231,2021-01-01,2021-12-31,,1,"[{""dimension"": ""us-gaap:StatementClassOfStockAxis"", ""member"": ""us-gaap:CommonClassAMember"", ""type"": ""explicitmember""}]",iso4217:USD,33328000000,numeric,2,2,510
us-gaap:NetIncomeLoss,i470c8b035c144cb98ded49fdcde291ec_D20220101-20221231,2022-01-01,2022-12-31,,1,"[{""dimension"": ""us-gaap:StatementClassOfStockAxis"", ""member"": ""us-gaap:CommonClassAMember"", ""type"": ""explicitmember""}]",iso4217:USD,19729000000,numeric,2,2,508
us-gaap:NetIncomeLoss,i761b33558f524328b8c7268388196dbd_D20220101-20221231,2022-01-01,2022-12-31,,1,"[{""dimension"": ""us-gaap:StatementClassOfStockAxis"", ""member"": ""us-gaap:CommonClassBMember"", ""type"": ""explicitmember""}]",iso4217:USD,3471000000,numeric,2,2,509
us-gaap:NonoperatingIncomeExpense,i318d180bade84250ab5889b877c752f0_D20200101-20201231,2020-01-01,2020-12-31,,0,[],iso4217:USD,509000000,numeric,2,2,1087
us-gaap:NonoperatingIncomeExpense,i200b191ad76944bd8349bcd33dd299b0_D20210101-20211231,2021-01-01,2021-12-31,,0,[],iso4217:USD,531000000,numeric,2,2,1086
us-gaap:NonoperatingIncomeExpense,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,2022-01-01,2022-12-31,,0,[],iso4217:USD,-125000000,numeric,2,2,1085
us-gaap:NumberOfReportableSegments,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,2022-01-01,2022-12-31,,0,[],meta:segment,,unparsed_numeric,2,2,1221
us-gaap:OperatingIncomeLoss,i318d180bade84250ab5889b877c752f0_D20200101-20201231,2020-01-01,2020-12-31,,0,[],iso4217:USD,32671000000,numeric,2,2,1240
us-gaap:OperatingIncomeLoss,i200b191ad76944bd8349bcd33dd299b0_D20210101-20211231,2021-01-01,2021-12-31,,0,[],iso4217:USD,46753000000,numeric,2,2,1239
us-gaap:OperatingIncomeLoss,ibd1882f348764f108a3caaa3a66c21ea_D20220101-20221231,2022-01-01,2022-12-31,,0,[],iso4217:USD,28944000000,numeric,2,2,1238
us-gaap:OperatingLeaseLiability,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,16668000000,numeric,2,2,852
us-gaap:OperatingLeaseLiabilityCurrent,i06727f1e850f48839f9fbb5214dcd53a_I20221231,,,2022-12-31,0,[],iso4217:USD,1367000000,numeric,2,2,75
